запрос,показы,клики,позиция,ctr_%,топ_страница
детский летний лагерь atmosphere,11,0,8.5,0.0,/
лагерь в подмосковье на лето 2026 айдакемп мск,11,4,2.2,36.4,/
лагерь для детей айдакемп мск,11,8,1.3,72.7,/
лагерь для подростков 14 atmosphere,11,0,3.6,0.0,/
лагерь для подростков 2026 atmosphere,11,0,5.9,0.0,/
летний компьютерный лагерь,11,1,4.3,9.1,/
летний лагерь для школьников,11,0,5.1,0.0,/
московский детский лагерь,11,0,14.9,0.0,/
переход лагерь для подростка atmosphere camp,11,0,5.2,0.0,/
лагерь в подмосковье для детей,10,0,5.4,0.0,/
лагерь для подростков 14-17 лет,10,0,7.5,0.0,/
лагерь для подростков с бассейном atmosphere,10,1,2.6,10.0,/
лагерь для ребенка в подмосковье,10,0,5.3,0.0,/
лагерь летний для подростков,10,0,8.7,0.0,/
лагерь летний для подростков 2026 atmosphere,10,0,5.2,0.0,/
лагерь на лето 2026,10,0,8.0,0.0,/
летний лагерь в москве 2026 для подростков atmosphere,10,0,7.4,0.0,/
летний лагерь в подмосковье 2026 айдакемп,10,4,1.7,40.0,/
летний лагерь в подмосковье айдакемп москва,10,5,1.8,50.0,/
летний лагерь в подмосковье айдакемп мск,10,4,1.8,40.0,/
летний лагерь в подмосковье для подростков 2026 atmosphere,10,0,4.2,0.0,/
летний лагерь для детей 8 лет atmosphere,10,0,6.1,0.0,/
подмосковные лагеря для детей на лето,10,1,4.4,10.0,/
расписание еды в лагере,10,0,7.2,0.0,/pitanie/
что такое корпус в лагере,10,0,7.4,0.0,/stati/territoriya-detskogo-lagerya/
roblox kids,9,0,10.3,0.0,/stati/roblox-dlya-detej/
детские лагеря в подмосковье на лето 2026,9,0,17.9,0.0,/
детский лагерь в подмосковье айдакемп,9,4,1.9,44.4,/
детский лагерь с бассейном,9,0,9.7,0.0,/lager-s-basseynom/
детский частный лагерь,9,0,5.1,0.0,/
документы в лагерь ребенку 2026,9,0,7.9,0.0,/stati/dokumenty-dlya-rebenka-v-lager/
лагерь без гаджетов,9,2,3.1,22.2,/lager-bez-telefonov/
лагерь в подмосковье на лето,9,1,5.8,11.1,/
лагерь для детей айдакемп москва,9,8,1.0,88.9,/
лагерь для подростков atmosphere camp,9,0,9.6,0.0,/
лагерь для подростков айдакемп,9,4,1.8,44.4,/
лагерь подросток,9,0,6.0,0.0,/
лагеря и их цены atmosphere,9,0,6.6,0.0,/
лагеря о да,9,2,4.7,22.2,/
летний лагерь в москве для детей atmosphere camp,9,0,11.8,0.0,/
летний лагерь в подмосковье atmosphere camp,9,0,8.5,0.0,/
летний лагерь в подмосковье для детей atmosphere camp,9,0,7.2,0.0,/
летний лагерь для 8 летнего ребенка atmosphere camp,9,0,6.0,0.0,/
летний лагерь для школьников 2026 айдакемп москва,9,3,2.2,33.3,/
летняя компьютерная школа 2026,9,0,10.1,0.0,/letnyaya-it-shkola/
путевки в лагерь на лето 2026 atmosphere,9,0,5.4,0.0,/
вон че говорят что в будущем ии и чат может заменить всех программистов,8,0,9.4,0.0,/stati/ii-zamenit-programmista/
детский лагерь 2026 atmosphere camp,8,0,6.5,0.0,/
детский лагерь в подмосковье на лето,8,0,6.0,0.0,/
детский лагерь видное,8,0,10.1,0.0,/lager-vidnoe/
детский лагерь для подростков atmosphere,8,0,7.6,0.0,/
детский лагерь лето 2026 atmosphere camp,8,0,5.0,0.0,/
детский летний лагерь в москве айдакемп,8,4,1.6,50.0,/
лагерь без гаджетов для подростков atmosphere,8,0,7.1,0.0,/lager-bez-telefonov/
лагерь без гаджетов для подростков atmosphere camp,8,0,4.0,0.0,/lager-bez-telefonov/
лагерь без телефонов,8,2,2.7,25.0,/lager-bez-telefonov/
лагерь в подмосковье для подростков atmosphere camp,8,0,7.3,0.0,/
лагерь для 7 летнего ребенка atmosphere camp,8,0,6.2,0.0,/
лагерь для детей в подмосковье на лето,8,0,5.1,0.0,/
лагерь для подростка 12 лет atmosphere,8,0,5.1,0.0,/
лагерь для подростков с бассейном atmosphere camp,8,0,6.1,0.0,/
летние лагеря без гаджетов,8,0,8.0,0.0,/lager-bez-telefonov/
летние лагеря в москве 2026,8,0,8.9,0.0,/
летний лагерь для детей 12 лет atmosphere camp,8,0,6.4,0.0,/
летний лагерь для детей айдакемп мск,8,5,1.5,62.5,/
летний лагерь подмосковье atmosphere,8,0,9.1,0.0,/
лечение зависимости от телефона у подростка,8,0,3.6,0.0,/stati/zavisimost-ot-telefona-u-podrostkov/
путевки в лагерь 2026 atmosphere,8,0,7.9,0.0,/
тематический лагерь в подмосковье atmosphere camp,8,0,10.2,0.0,/
чем кормят в лагере,8,0,10.6,0.0,/stati/pitanie-v-detskom-lagere/
что нельзя делать в лагере детям,8,0,8.9,0.0,/stati/pravila-v-detskom-lagere/
вы играете в роблокс интересует мнение подростка,7,3,3.5,42.9,/stati/roblox-dlya-detej/
дети в лагере,7,0,8.1,0.0,/stati/adaptaciya-rebenka-v-lagere/
детский лагерь 7 лет atmosphere camp,7,0,5.1,0.0,/
детский лагерь в подмосковье vlagere,7,0,7.8,0.0,/
детский лагерь в подмосковье эксперт онлайн,7,0,3.6,0.0,/
детский летний лагерь в москве айдакемп москва,7,5,1.2,71.4,/
детский летний лагерь в подмосковье 2026,7,0,12.4,0.0,/
интересные лагеря для подростков atmosphere camp,7,0,7.2,0.0,/
какие документы нужны для лагеря ребенку 2026,7,0,10.6,0.0,/stati/dokumenty-dlya-rebenka-v-lager/
лагерь it для детей летний,7,1,5.5,14.3,/
лагерь в подмосковье atmosphere,7,0,10.3,0.0,/
лагерь в подмосковье детский vlagere,7,0,8.0,0.0,/lager-v-podmoskove/
лагерь в подольске,7,0,10.4,0.0,/lager-podolsk/
лагерь детский в подмосковье vlagere,7,0,7.0,0.0,/lager-na-iyun/
лагерь для детей atmosphere,7,0,7.7,0.0,/
лагерь для подростков 13 atmosphere,7,0,3.5,0.0,/
лагерь для подростков 13 atmosphere camp,7,0,4.2,0.0,/
лагерь жуковский,7,0,8.8,0.0,/lager-zhukovskiy/
лагерь летний для подростков 2026 atmosphere camp,7,0,5.5,0.0,/
лагерь майнкрафт,7,1,6.0,14.3,/minecraft-lager/
лагерь обнинск,7,0,9.5,0.0,/lager-obnisk/
лагеря для детей на лето 2026,7,1,10.9,14.3,/
летний городской лагерь для подростков atmosphere,7,0,6.9,0.0,/
летний ит лагерь,7,1,5.3,14.3,/
летний лагерь в подмосковье для подростков 2026,7,0,7.5,0.0,/
летний лагерь для детей в подмосковье,7,0,8.3,0.0,/
медицинский лагерь для подростков atmosphere camp,7,0,8.2,0.0,/
найти лагерь для детей,7,0,3.2,0.0,/
образовательный лагерь для подростков atmosphere,7,0,4.6,0.0,/
сколько стоит путевка в летний лагерь atmosphere,7,0,6.2,0.0,/
it лагерь для детей,6,1,4.0,16.7,/
биологический лагерь для подростков atmosphere,6,0,8.6,0.0,/
вокальный лагерь для детей москва на ацадемыкрб ру,6,0,5.8,0.0,/
где отдыхать и учиться,6,1,2.0,16.7,/
детские лагеря отдыха в подмосковье,6,0,8.7,0.0,/
детский лагерь 7 лет atmosphere,6,0,6.8,0.0,/
детский лагерь в подмосковье с бассейном,6,1,10.7,16.7,/lager-s-basseynom/
детский лагерь жуковский,6,0,9.9,0.0,/lager-zhukovskiy/
детский лагерь цена atmosphere,6,0,8.1,0.0,/
для детей лагерь,6,2,1.2,33.3,/
зависимость от телефона у подростков,6,0,8.9,0.0,/stati/zavisimost-ot-telefona-u-podrostkov/
истра лагерь,6,0,10.4,0.0,/lager-istra/
ит лагерь для подростков atmosphere,6,0,3.9,0.0,/
лагерь детский на лето 2026,6,0,6.9,0.0,/
лагерь для детей 7 лет atmosphere camp,6,0,6.2,0.0,/
лагерь для детей 7 лет в подмосковье,6,0,8.5,0.0,/
лагерь для детей 7 лет в подмосковье atmosphere,6,0,5.1,0.0,/
лагерь для детей в подмосковье на лето 2026,6,0,10.9,0.0,/
лагерь для детей в подмосковье эксперт онлайн,6,0,2.8,0.0,/
лагерь для подростков 12 atmosphere camp,6,0,4.8,0.0,/
лагерь для подростков 16 лет atmosphere,6,0,6.6,0.0,/
лагерь для подростков в подмосковье на лето 2026,6,0,12.8,0.0,/
лагерь для подростков цена atmosphere camp,6,0,5.4,0.0,/
лагерь летний для подростков в россии atmosphere,6,0,8.2,0.0,/lager-dlya-podrostkov/
лагерь летний для подростков в россии atmosphere camp,6,0,9.3,0.0,/
лагерь отдыха для подростков atmosphere,6,0,5.1,0.0,/
лагерь отдыха для подростков atmosphere camp,6,0,6.5,0.0,/
лагерь по программированию,6,2,4.2,33.3,/
лагерь программирование,6,0,4.4,0.0,/
лагерь с бассейном в подмосковье,6,0,7.2,0.0,/lager-s-basseynom/
лагерь труда и отдыха для подростков atmosphere camp,6,0,9.0,0.0,/
лагеря для подростков 16 atmosphere,6,0,5.2,0.0,/lager-dlya-podrostkov/
летний it лагерь для детей эксперт онлайн,6,0,3.7,0.0,/
летний городской лагерь для детей atmosphere camp,6,0,9.2,0.0,/
летний городской лагерь для подростков atmosphere camp,6,0,7.0,0.0,/
летний детский лагерь для ребенка atmosphere,6,0,8.9,0.0,/
летний лагерь для детей 11 лет atmosphere,6,0,8.8,0.0,/
летний лагерь для детей 7 лет atmosphere camp,6,0,6.4,0.0,/
летний лагерь отдыха для детей atmosphere,6,0,5.8,0.0,/
летний лагерь с бассейном в подмосковье для детей 2026,6,0,10.1,0.0,/
найти лагерь для детей эксперт онлайн,6,0,3.4,0.0,/
налоговый вычет за лагерь ребенка в 2026,6,0,10.1,0.0,/nalogovyj-vychet/
норма часов в телефоне в день для подростка,6,0,9.4,0.0,/stati/ekrannoe-vremya-detej-norma/
подростковый лагерь,6,1,14.0,16.7,/
признаки зависимости от компьютерных игр у ребенка,6,0,9.6,0.0,/stati/zavisimost-ot-kompyuternyh-igr/
режим дня в детском лагере,6,0,20.5,0.0,/stati/pravila-v-detskom-lagere/
it лагерь дети,5,0,1.5,0.0,/
в лагерь ребенка,5,0,1.9,0.0,/
детские it лагеря эксперт онлайн,5,0,2.0,0.0,/
детские лагеря на лето,5,0,8.2,0.0,/
детский лагерь обнинск,5,0,11.9,0.0,/lager-obnisk/
детский лагерь цены atmosphere camp,5,0,10.2,0.0,/
зависимость игр детей v-gotlib.ru,5,0,5.8,0.0,/stati/zavisimost-ot-kompyuternyh-igr/
игровая зависимость от компьютерных игр лечение v-gotlib.ru,5,0,9.4,0.0,/stati/zavisimost-ot-kompyuternyh-igr/
как отучить ребенка от игровой зависимости,5,0,33.4,0.0,/stati/kak-izbavitsya-ot-zavisimosti-ot-igr/
купить в лагерь путевку atmosphere,5,0,7.6,0.0,/
лагерь айти,5,0,5.8,0.0,/
лагерь в подмосковье на лето atmosphere,5,0,8.3,0.0,/
лагерь в подмосковье на лето atmosphere camp,5,0,8.7,0.0,/
лагерь в подмосковье эксперт онлайн,5,0,4.8,0.0,/
лагерь в щелково цена,5,0,6.8,0.0,/lager-shchelkovo/
лагерь для подростка отзывы atmosphere camp,5,0,6.7,0.0,/
лагерь для подростков 12 atmosphere,5,0,6.0,0.0,/
лагерь для подростков 13 лет atmosphere,5,0,3.4,0.0,/
лагерь для подростков 15 лет atmosphere camp,5,0,4.3,0.0,/
лагерь для подростков 16 лет atmosphere camp,5,0,7.7,0.0,/
лагерь для подростков 17 лет atmosphere,5,0,5.0,0.0,/
лагерь для подростков на лето atmosphere camp,5,0,8.5,0.0,/
лагерь для ребенка atmosphere,5,0,11.3,0.0,/
лагерь летний москва atmosphere camp,5,0,11.1,0.0,/
лагерь на 2 недели летом,5,1,4.5,20.0,/stati/lager-na-2-nedeli/
лагерь на море для подростков 2026 atmosphere,5,0,9.7,0.0,/
лагерь отдых подмосковье,5,0,2.0,0.0,/
лагерь ступино,5,0,8.2,0.0,/lager-stupino/
лагеря где не забирают телефон,5,0,3.5,0.0,/lager-bez-telefonov/
лагеря для детей 2026 год,5,0,1.0,0.0,/
лагеря для подростков 16 atmosphere camp,5,0,5.8,0.0,/
лагеря для подростков на лето 2026 atmosphere,5,0,4.4,0.0,/
летние лагеря для детей 11 atmosphere camp,5,0,10.7,0.0,/
летние лагеря для детей 2026,5,0,3.1,0.0,/
летние лагеря для детей 2026 atmosphere,5,0,5.9,0.0,/
летние лагеря для подростков,5,0,6.3,0.0,/
летний it лагерь для детей best camp,5,0,6.4,0.0,/
летний городской лагерь для детей atmosphere,5,0,5.9,0.0,/
летний лагерь в москве 2026 для подростков atmosphere camp,5,0,7.8,0.0,/
летний лагерь в подмосковье эксперт онлайн,5,0,2.8,0.0,/
летний лагерь для детей 9 лет atmosphere camp,5,0,7.6,0.0,/
летний лагерь для детей айдакемп,5,3,1.2,60.0,/
летний лагерь для детей программа atmosphere,5,0,8.1,0.0,/
летний лагерь для детей смены atmosphere,5,0,6.6,0.0,/
летний лагерь программирования,5,0,8.9,0.0,/
лкл,5,0,11.0,0.0,/
образовательный лагерь для подростков atmosphere camp,5,0,6.1,0.0,/
подъём в завтрак база,5,0,10.5,0.0,/
почему подростки постоянно сидят в телефоне,5,0,4.8,0.0,/stati/zavisimost-ot-telefona-u-podrostkov/
правила отряда,5,0,7.9,0.0,/stati/pravila-v-detskom-lagere/
путевки в детский лагерь 2026 atmosphere,5,0,8.1,0.0,/
ребенок лагерь,5,0,6.0,0.0,/
ролевой лагерь для подростков atmosphere camp,5,0,10.0,0.0,/
скретч платформер герой прыгает по платформам собирает монеты и избегает врагов,5,0,8.0,0.0,/stati/scratch-dlya-detej/
скретч родители,5,0,7.8,0.0,/stati/scratch-dlya-detej/
справка в лагерь 079/у 2026,5,1,9.0,20.0,/stati/spravki-dlya-lagera/
тематические лагеря для подростков atmosphere,5,0,8.8,0.0,/
it лагерь для 14 лет,4,1,2.5,25.0,/lager-14-let/
айдакемп — лагерь отзывы,4,0,4.5,0.0,/
айти лагерь москва,4,0,2.8,0.0,/
во сколько подъем в лагере,4,0,6.2,0.0,/stati/pravila-v-detskom-lagere/
городской лагерь для подростков atmosphere,4,0,4.2,0.0,/
городской лагерь для подростков atmosphere camp,4,0,5.5,0.0,/
дети игроманы,4,0,41.5,0.0,/stati/igromaniya-u-detej/
детские it лагеря best camp,4,0,3.5,0.0,/
детские it лагеря бест камп,4,0,6.8,0.0,/
детские лагеря на лето в подмосковье,4,0,5.5,0.0,/
детский и лагерь,4,0,3.3,0.0,/
детский лагерь 2026 atmosphere,4,0,5.2,0.0,/
детский лагерь без гаджетов загородный,4,0,6.0,0.0,/lager-bez-telefonov/
детский лагерь в зеленограде,4,0,7.7,0.0,/lager-zelenograd/
детский лагерь в подмосковье айдакемп москва,4,3,1.2,75.0,/
детский лагерь для девочек,4,1,9.7,25.0,/lager-dlya-devochek/
детский лагерь наро-фоминск,4,1,6.7,25.0,/stati/lager-naro-fominsk/
детский лагерь рядом с зеленоградом,4,0,5.7,0.0,/lager-zelenograd/
детский лагерь с бассейном в подмосковье,4,0,7.3,0.0,/lager-s-basseynom/
детский летний лагерь айдакемп,4,3,1.1,75.0,/
детский летний лагерь в москве atmosphere,4,0,7.2,0.0,/
детский летний лагерь подмосковье,4,0,3.1,0.0,/
дисциплинированный лагерь без гаджетов,4,0,2.3,0.0,/lager-bez-telefonov/
документы для лагеря ребенку 2026,4,0,11.5,0.0,/stati/dokumenty-dlya-rebenka-v-lager/
ит лагерь для детей,4,1,3.0,25.0,/
как называется перекус перед сном в лагере,4,1,7.7,25.0,/stati/pitanie-v-detskom-lagere/
как оплатить путевку в лагерь,4,0,9.5,0.0,/stati/oplata-detskogo-lagerya/
каникулы с программированием ребенку,4,0,3.5,0.0,/
купить путевку в лагерь 2026 atmosphere camp,4,0,9.0,0.0,/
лагерь айти для 15 лет в подмосковье,4,1,3.5,25.0,/lager-dlya-podrostkov/
лагерь айти с проживанием москва,4,0,3.0,0.0,/lager-na-leto-2026/
лагерь балашиха,4,0,10.7,0.0,/lager-balashiha/
лагерь в жуковском,4,0,10.0,0.0,/lager-zhukovskiy/
лагерь в лесу для подростков atmosphere camp,4,0,9.8,0.0,/
лагерь в подмосковье без телефона,4,1,1.0,25.0,/lager-bez-telefonov/
лагерь в подмосковье где не забирают телефоны,4,0,2.0,0.0,/lager-bez-telefonov/
лагерь в подмосковье для детей atmosphere camp,4,0,8.2,0.0,/
лагерь в подмосковье на лето полный день,4,0,14.0,0.0,/
лагерь детский летний,4,0,2.8,0.0,/
лагерь для 3 летнего ребенка atmosphere,4,0,9.5,0.0,/
лагерь для 5 летних детей atmosphere,4,0,11.8,0.0,/
